geography,deprivation
Didsbury West,0.598885794
Fallowfield,1.070379965
Gorton North,1.296795235
Gorton South,1.177266922
Harpurhey,1.368501921
Higher Blackley,1.248062016
Hulme,0.935695718
Levenshulme,0.952664927
Longsight,1.278372142
Miles Platting and Newton Heath,1.406952965
Moss Side,1.198188988
Moston,1.083237939
Northenden,1.048978941
Old Moat,0.968652038
Rusholme,1.138093107
Sharston,1.192721257
Whalley Range,0.935004042
Withington,0.808752367
Woodhouse Park,1.25891182
Ancoats and Clayton,1.141436041
Ardwick,1.272218769
Baguley,1.165996909
Bradford,1.249041057
Brooklands,1.0393833
Burnage,1.122646398
Charlestown,1.227032227
Cheetham,1.210080986
Chorlton,0.646735617
Chorlton Park,0.821895179
City Centre,0.738325882
Crumpsall,1.212135177
Didsbury East,0.630988275
