geography,socialgrade
Didsbury West,1.738781048
Fallowfield,2.549379385
Gorton North,3.015353995
Gorton South,2.909327241
Harpurhey,3.118661607
Higher Blackley,2.920468912
Hulme,2.315341895
Levenshulme,2.518385563
Longsight,2.8761132
Miles Platting and Newton Heath,3.118414296
Moss Side,2.824906685
Moston,2.831168831
Northenden,2.715614143
Old Moat,2.40702164
Rusholme,2.615157803
Sharston,2.966552161
Whalley Range,2.394085473
Withington,2.230803216
Woodhouse Park,3.018710324
Ancoats and Clayton,2.513579212
Ardwick,2.740056022
Baguley,2.891308879
Bradford,2.827008106
Brooklands,2.659997894
Burnage,2.748033909
Charlestown,2.962688196
Cheetham,2.835473134
Chorlton,1.89132915
Chorlton Park,2.150960659
City Centre,1.756444514
Crumpsall,2.842984843
Didsbury East,1.923371648
