geography,crimes
Didsbury West,126
Fallowfield,151
Gorton North,298
Gorton South,212
Harpurhey,443
Higher Blackley,355
Hulme,213
Levenshulme,199
Longsight,187
Miles Platting and Newton Heath,334
Moss Side,219
Moston,148
Northenden,171
Old Moat,136
Rusholme,172
Sharston,151
Whalley Range,129
Withington,96
Woodhouse Park,330
Ancoats and Clayton,484
Ardwick,368
Baguley,179
Bradford,333
Brooklands,136
Burnage,149
Charlestown,176
Cheetham,425
Chorlton,108
Chorlton Park,137
City Centre,1887
Crumpsall,270
Didsbury East,101
