geography,popdens
Didsbury West,47.6
Fallowfield,67.8
Gorton North,42.6
Gorton South,53.2
Harpurhey,45.8
Higher Blackley,19.8
Hulme,76.7
Levenshulme,69.6
Longsight,116.7
Miles Platting and Newton Heath,31
Moss Side,95.3
Moston,46.9
Northenden,28.4
Old Moat,75.1
Rusholme,72.3
Sharston,44.9
Whalley Range,64.1
Withington,89
Woodhouse Park,12
Ancoats and Clayton,35.9
Ardwick,51
Baguley,28.4
Bradford,31.3
Brooklands,50.1
Burnage,65.6
Charlestown,40.7
Cheetham,48.3
Chorlton,57.3
Chorlton Park,32.2
City Centre,66.1
Crumpsall,46.9
Didsbury East,37.9
